,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
9867,9868,Estimates,Lao People's Democratic Republic,,418,Country/Area,920,2019,794.0,771.0,751.0,705.0,694.0,664.0,575.0,480.0,405.0,345.0,280.0,230.0,177.0,127.0,81.0,50.0,27.0,10.0,3.0,0.0,0.0,1.0
11003,11004,Estimates,Dominican Republic,,214,Country/Area,915,2019,1007.0,994.0,975.0,960.0,944.0,909.0,813.0,728.0,660.0,597.0,532.0,462.0,375.0,280.0,194.0,133.0,93.0,51.0,22.0,8.0,2.0,1.0
11216,11217,Estimates,Haiti,,332,Country/Area,915,2019,1266.0,1238.0,1197.0,1137.0,1057.0,973.0,902.0,801.0,596.0,467.0,418.0,357.0,285.0,221.0,146.0,108.0,60.0,26.0,8.0,2.0,0.0,1.0
12281,12282,Estimates,Nicaragua,,558,Country/Area,916,2019,661.0,660.0,634.0,602.0,588.0,581.0,545.0,495.0,406.0,329.0,266.0,229.0,193.0,139.0,79.0,66.0,41.0,21.0,9.0,2.0,0.0,1.0
12352,12353,Estimates,Panama,,591,Country/Area,916,2019,389.0,382.0,366.0,355.0,345.0,325.0,313.0,298.0,284.0,263.0,228.0,192.0,153.0,118.0,88.0,64.0,42.0,25.0,12.0,4.0,1.0,1.0
12565,12566,Estimates,Bolivia (Plurinational State of),,68,Country/Area,931,2019,1187.0,1179.0,1160.0,1130.0,1053.0,959.0,854.0,752.0,652.0,555.0,468.0,392.0,328.0,273.0,219.0,160.0,102.0,58.0,25.0,8.0,1.0,1.0
13772,13773,Estimates,Fiji,,242,Country/Area,928,2019,90.0,88.0,82.0,74.0,72.0,70.0,67.0,67.0,56.0,49.0,48.0,44.0,33.0,22.0,15.0,8.0,4.0,1.0,0.0,0.0,0.0,1.0
13914,13915,Estimates,Papua New Guinea,,598,Country/Area,928,2019,1096.0,1036.0,983.0,909.0,816.0,699.0,627.0,573.0,497.0,414.0,337.0,271.0,210.0,148.0,85.0,46.0,21.0,7.0,2.0,0.0,0.0,1.0
13985,13986,Estimates,Solomon Islands,,90,Country/Area,928,2019,102.0,90.0,77.0,69.0,59.0,49.0,42.0,39.0,36.0,30.0,22.0,17.0,13.0,9.0,7.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0
14056,14057,Estimates,Vanuatu,,548,Country/Area,928,2019,41.0,39.0,36.0,29.0,26.0,25.0,22.0,17.0,16.0,13.0,11.0,9.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
14340,14341,Estimates,Micronesia (Fed. States of),,583,Country/Area,954,2019,12.0,12.0,12.0,12.0,12.0,10.0,8.0,7.0,6.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14553,14554,Estimates,Samoa,,882,Country/Area,957,2019,27.0,25.0,22.0,19.0,16.0,14.0,11.0,10.0,10.0,10.0,9.0,7.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
14624,14625,Estimates,Tonga,,776,Country/Area,957,2019,12.0,12.0,12.0,11.0,9.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
